Veækosù poæa;Vloû prv˝;Vloû posledn˝;Vloû na index;Zruö prv˝;Zruö posledn˝;Zruö na indexe;SprÌstupni;Nastav;Index prvku;;;;68,94432634
0;400;;;;;;;;;;;;68,51580699
1;;200;;;;;;;;;;;194,7456325
2;;;;;;;;300;;;;;71,22275705
2;;;;;600;;;;;;;;290,7725899
1;;;200;;;;;;;;;;202,7756489
2;;;;;100;;;;;;;;152,143146
1;100;;;;;;;;;;;;153,9035707
2;;100;;;;;;;;;;;239,8544867
3;;100;;;;;;;;;;;
4;;;;;100;;;;;;;;
3;;;;;100;;;;;;;;
2;;;;100;;;;;;;;;
1;;;;100;;;;;;;;;
0;;;100;;;;;;;;;;
1;;;100;;;;;;;;;;
2;;;200;;;;;;;;;;
3;;;100;;;;;;;;;;
4;;;;;;100;;;;;;;
3;;0;;;;;;;;;;;
4;;100;;;;;;;;;;;
5;;;;100;;;;;;;;;
4;;;;;100;;;;;;;;
3;100;;;;;;;;;;;;
4;0;;;;;;;;;;;;
5;;;;;;;100;;;;;;
5;100;;;;;;;;;;;;
6;;;100;;;;;;;;;;
7;;;;100;;;;;;;;;
6;;;;;;100;;;;;;;
5;100;;;;;;;;;;;;
6;100;;;;;;;;;;;;
7;;0;;;;;;;;;;;
8;;;100;;;;;;;;;;
9;;;;;;100;;;;;;;
8;;;;;;100;;;;;;;
7;;;;;;100;;;;;;;
6;;;;;100;;;;;;;;
5;;;;0;;;;;;;;;
4;;;100;;;;;;;;;;
5;;;;100;;;;;;;;;
4;;;100;;;;;;;;;;
5;;;;100;;;;;;;;;
4;;0;;;;;;;;;;;
5;;;;;;100;;;;;;;
4;100;;;;;;;;;;;;
5;;;100;;;;;;;;;;
6;;;;;;;100;;;;;;
6;0;;;;;;;;;;;;
7;;100;;;;;;;;;;;
8;;100;;;;;;;;;;;
9;;;;100;;;;;;;;;
8;;;;;;100;;;;;;;
7;;;;;;;;;100;;;;
7;;;100;;;;;;;;;;
8;;;;;100;;;;;;;;
7;;;;;100;;;;;;;;
6;;;100;;;;;;;;;;
7;;;;;;;;100;;;;;
7;;;;100;;;;;;;;;
6;;;;0;;;;;;;;;
5;;;;100;;;;;;;;;
4;;;;;100;;;;;;;;
3;;;;0;;;;;;;;;
2;;;;;;;;;100;;;;
2;;100;;;;;;;;;;;
3;100;;;;;;;;;;;;
4;100;;;;;;;;;;;;
5;;;;;100;;;;;;;;
4;;;100;;;;;;;;;;
5;;;100;;;;;;;;;;
6;;;;;;100;;;;;;;
5;;;;;100;;;;;;;;
4;;;;;;;;;0;;;;
4;100;;;;;;;;;;;;
5;100;;;;;;;;;;;;
6;;;;;;100;;;;;;;
5;;;;;100;;;;;;;;
4;;;;;;100;;;;;;;
3;;;;;100;;;;;;;;
2;;100;;;;;;;;;;;
3;;;;;;100;;;;;;;
2;;;;;0;;;;;;;;
1;;;;100;;;;;;;;;
0;0;;;;;;;;;;;;
1;;;;;100;;;;;;;;
0;100;;;;;;;;;;;;
1;;;;100;;;;;;;;;
0;100;;;;;;;;;;;;
1;;;;;;100;;;;;;;
0;0;;;;;;;;;;;;
1;;;;0;;;;;;;;;
0;;0;;;;;;;;;;;
1;;;;;;;;;0;;;;
1;;0;;;;;;;;;;;
2;;;;;0;;;;;;;;
1;;;;;;100;;;;;;;
0;;0;;;;;;;;;;;
1;0;;;;;;;;;;;;
2;;;;0;;;;;;;;;
1;;;;;;0;;;;;;;
0;;0;;;;;;;;;;;
1;;100;;;;;;;;;;;
2;100;;;;;;;;;;;;
3;;;;100;;;;;;;;;
2;;;100;;;;;;;;;;
3;;;;;100;;;;;;;;
2;;;;;;100;;;;;;;
1;;;;;100;;;;;;;;
0;100;;;;;;;;;;;;
1;;;;;100;;;;;;;;
0;;0;;;;;;;;;;;
1;;;;;100;;;;;;;;
0;100;;;;;;;;;;;;
1;;100;;;;;;;;;;;
2;;;100;;;;;;;;;;
3;;;100;;;;;;;;;;
4;0;;;;;;;;;;;;
5;;;;;;100;;;;;;;
4;;;;;;100;;;;;;;
3;;;;;;;0;;;;;;
3;;;;;;;0;;;;;;
3;100;;;;;;;;;;;;
4;;;;;100;;;;;;;;
3;;;;100;;;;;;;;;
2;;0;;;;;;;;;;;
3;;0;;;;;;;;;;;
4;;;;;100;;;;;;;;
3;;;;100;;;;;;;;;
2;;;;100;;;;;;;;;
1;;;;;;;;;100;;;;
1;;;100;;;;;;;;;;
2;;;200;;;;;;;;;;
3;;;;;;;;100;;;;;
3;;100;;;;;;;;;;;
4;;;;;;100;;;;;;;
3;;;;;;;100;;;;;;
3;;;;;;100;;;;;;;
2;;;;;100;;;;;;;;
1;;;;;;100;;;;;;;
0;100;;;;;;;;;;;;
1;;;;;;;100;;;;;;
1;;;;;;;;;0;;;;
1;;;;;;;;;0;;;;
1;;;100;;;;;;;;;;
2;;;100;;;;;;;;;;
3;;;;;;100;;;;;;;
2;;;;;;;;;0;;;;
2;;;100;;;;;;;;;;
3;0;;;;;;;;;;;;
4;;;;;;100;;;;;;;
3;;;;0;;;;;;;;;
2;;;;100;;;;;;;;;
1;;;100;;;;;;;;;;
2;;;100;;;;;;;;;;
3;;;100;;;;;;;;;;
4;;100;;;;;;;;;;;
5;;;;;;;;;100;;;;
5;;;;100;;;;;;;;;
4;;;100;;;;;;;;;;
5;;;;;;100;;;;;;;
4;;;;;;;;;100;;;;
4;;100;;;;;;;;;;;
5;;;;;;100;;;;;;;
4;100;;;;;;;;;;;;
5;;;;;100;;;;;;;;
4;;;;;;;;;0;;;;
4;;;;;;100;;;;;;;
3;;;100;;;;;;;;;;
4;;;;;100;;;;;;;;
3;;;;;;100;;;;;;;
2;0;;;;;;;;;;;;
3;;;;100;;;;;;;;;
2;;;;100;;;;;;;;;
1;100;;;;;;;;;;;;
2;;0;;;;;;;;;;;
3;;;;;;100;;;;;;;
2;;;;;0;;;;;;;;
1;0;;;;;;;;;;;;
2;;;;100;;;;;;;;;
1;;;;;;;;;0;;;;
