Veækosù frontu;Vloû;Vyber;Uk·û;;;;;;;;0;1;1700;1700;;;;287849,4462
0;1700;;;;;;;;;;1;1;1000;1000;;;;133,8416351
1;1000;;;;;;;;;;2;3;1600;533,3333333;;;;67,08809135
2;500;;;;;;;;;;3;1;100;100;;;;
3;;300;;;;;;;;;4;1;1100;1100;;;;
2;600;;;;;;;;;;5;1;600;600;;;;
3;;100;;;;;;;;;6;1;600;600;;;;
2;500;;;;;;;;;;7;3;1300;433,3333333;;;;
3;100;;;;;;;;;;8;3;2200;733,3333333;;;;
4;1100;;;;;;;;;;9;1;100;100;;;;
5;600;;;;;;;;;;10;1;600;600;;;;
6;600;;;;;;;;;;11;1;600;600;;;;
7;600;;;;;;;;;;12;3;1100;366,6666667;;;;
8;1400;;;;;;;;;;13;3;1600;533,3333333;;;;
9;;100;;;;;;;;;14;3;1400;466,6666667;;;;
8;600;;;;;;;;;;15;3;1800;600;;;;
9;;100;;;;;;;;;16;2;2400;1200;;;;
8;;100;;;;;;;;;17;1;800;800;;;;
7;500;;;;;;;;;;18;2;1400;700;;;;
8;;100;;;;;;;;;19;3;1000;333,3333333;;;;
7;200;;;;;;;;;;20;2;1600;800;;;;
8;200;;;;;;;;;;21;1;200;200;;;;
9;100;;;;;;;;;;22;1;900;900;;;;
10;600;;;;;;;;;;23;1;100;100;;;;
11;600;;;;;;;;;;24;1;900;900;;;;
12;200;;;;;;;;;;25;2;1100;550;;;;
13;600;;;;;;;;;;26;5;3000;600;;;;
14;700;;;;;;;;;;27;3;2400;800;;;;
15;800;;;;;;;;;;28;1;200;200;;;;
16;2200;;;;;;;;;;29;1;700;700;;;;
17;;100;;;;;;;;;30;1;1100;1100;;;;
16;;100;;;;;;;;;31;1;1100;1100;;;;
15;;100;;;;;;;;;32;2;1900;950;;;;
14;;200;;;;;;;;;33;1;1000;1000;;;;
13;200;;;;;;;;;;34;1;200;200;;;;
14;;;100;;;;;;;;35;4;3200;800;;;;
14;;;100;;;;;;;;36;3;2700;900;;;;
14;;200;;;;;;;;;37;3;2100;700;;;;
13;;100;;;;;;;;;38;4;2800;700;;;;
12;700;;;;;;;;;;39;3;2700;900;;;;
13;;100;;;;;;;;;40;1;200;200;;;;
12;200;;;;;;;;;;41;1;100;100;;;;
13;800;;;;;;;;;;42;1;1400;1400;;;;
14;600;;;;;;;;;;43;2;800;400;;;;
15;500;;;;;;;;;;44;1;100;100;;;;
16;;100;;;;;;;;;45;2;2000;1000;;;;
15;;100;;;;;;;;;46;2;1800;900;;;;
14;100;;;;;;;;;;47;2;2700;1350;;;;
15;;;0;;;;;;;;48;3;2900;966,6666667;;;;
15;500;;;;;;;;;;49;3;3900;1300;;;;
16;200;;;;;;;;;;50;2;3400;1700;;;;
17;800;;;;;;;;;;51;2;1200;600;;;;
18;600;;;;;;;;;;52;1;1600;1600;;;;
19;;100;;;;;;;;;53;1;200;200;;;;
18;800;;;;;;;;;;54;1;200;200;;;;
19;700;;;;;;;;;;55;1;900;900;;;;
20;;100;;;;;;;;;56;1;1700;1700;;;;
19;200;;;;;;;;;;57;1;1100;1100;;;;
20;900;;;;;;;;;;58;1;1800;1800;;;;
21;;100;;;;;;;;;59;2;2400;1200;;;;
20;;200;;;;;;;;;60;1;200;200;;;;
19;100;;;;;;;;;;61;1;1900;1900;;;;
20;700;;;;;;;;;;62;2;1200;600;;;;
21;200;;;;;;;;;;63;2;2000;1000;;;;
22;900;;;;;;;;;;64;1;1200;1200;;;;
23;100;;;;;;;;;;65;1;700;700;;;;
24;900;;;;;;;;;;66;1;1900;1900;;;;
25;100;;;;;;;;;;67;1;1300;1300;;;;
26;;100;;;;;;;;;68;1;1300;1300;;;;
25;1000;;;;;;;;;;69;3;5400;1800;;;;
26;500;;;;;;;;;;70;7;6400;914,2857143;;;;
27;;100;;;;;;;;;71;5;3200;640;;;;
26;1000;;;;;;;;;;72;2;4300;2150;;;;
27;;100;;;;;;;;;73;2;700;350;;;;
26;900;;;;;;;;;;74;2;4400;2200;;;;
27;;200;;;;;;;;;75;4;6200;1550;;;;
26;100;;;;;;;;;;76;2;4700;2350;;;;
27;800;;;;;;;;;;77;5;11000;2200;;;;
28;;200;;;;;;;;;78;2;2200;1100;;;;
27;1100;;;;;;;;;;79;5;6300;1260;;;;
28;;200;;;;;;;;;80;2;2800;1400;;;;
27;;100;;;;;;;;;81;1;100;100;;;;
26;500;;;;;;;;;;82;1;1800;1800;;;;
27;500;;;;;;;;;;83;1;200;200;;;;
28;200;;;;;;;;;;84;1;900;900;;;;
29;700;;;;;;;;;;85;1;2400;2400;;;;
30;1100;;;;;;;;;;86;1;2100;2100;;;;
31;1100;;;;;;;;;;87;1;1200;1200;;;;
32;1700;;;;;;;;;;88;2;5000;2500;;;;
33;;200;;;;;;;;;89;3;3200;1066,666667;;;;
32;200;;;;;;;;;;90;1;1000;1000;;;;
33;1000;;;;;;;;;;91;1;500;500;;;;
34;200;;;;;;;;;;92;2;2700;1350;;;;
35;1000;;;;;;;;;;93;1;200;200;;;;
36;1300;;;;;;;;;;94;2;5200;2600;;;;
37;700;;;;;;;;;;95;2;2500;1250;;;;
38;;100;;;;;;;;;96;1;2500;2500;;;;
37;1300;;;;;;;;;;97;1;2700;2700;;;;
38;;100;;;;;;;;;98;1;2700;2700;;;;
37;;100;;;;;;;;;99;1;1000;1000;;;;
36;1300;;;;;;;;;;100;1;1200;1200;;;;
37;;100;;;;;;;;;101;1;1400;1400;;;;
36;;100;;;;;;;;;102;1;2800;2800;;;;
35;800;;;;;;;;;;103;1;2900;2900;;;;
36;;100;;;;;;;;;104;1;700;700;;;;
35;500;;;;;;;;;;105;1;2800;2800;;;;
36;;100;;;;;;;;;106;2;2700;1350;;;;
35;900;;;;;;;;;;107;1;200;200;;;;
36;100;;;;;;;;;;108;1;1400;1400;;;;
37;100;;;;;;;;;;109;2;1800;900;;;;
38;700;;;;;;;;;;110;2;3700;1850;;;;
39;1200;;;;;;;;;;111;4;8600;2150;;;;
40;;200;;;;;;;;;112;3;7500;2500;;;;
39;;100;;;;;;;;;113;1;100;100;;;;
38;500;;;;;;;;;;114;1;1900;1900;;;;
39;;100;;;;;;;;;115;1;1500;1500;;;;
38;500;;;;;;;;;;116;1;200;200;;;;
39;;;100;;;;;;;;117;1;3200;3200;;;;
39;1300;;;;;;;;;;118;2;3400;1700;;;;
40;;200;;;;;;;;;119;1;3100;3100;;;;
39;;100;;;;;;;;;120;1;200;200;;;;
38;1100;;;;;;;;;;121;1;3200;3200;;;;
39;200;;;;;;;;;;122;4;6900;1725;;;;
40;200;;;;;;;;;;123;2;6600;3300;;;;
41;100;;;;;;;;;;124;1;2800;2800;;;;
42;1400;;;;;;;;;;125;1;2000;2000;;;;
43;200;;;;;;;;;;126;3;3200;1066,666667;;;;
44;;100;;;;;;;;;127;1;1100;1100;;;;
43;600;;;;;;;;;;128;1;6000;6000;;;;
44;100;;;;;;;;;;129;1;3400;3400;;;;
45;1100;;;;;;;;;;130;1;2400;2400;;;;
46;1000;;;;;;;;;;131;1;200;200;;;;
47;1900;;;;;;;;;;132;1;3500;3500;;;;
48;;100;;;;;;;;;133;1;2200;2200;;;;
47;;100;;;;;;;;;134;1;2200;2200;;;;
46;;100;;;;;;;;;135;1;3600;3600;;;;
45;900;;;;;;;;;;136;1;200;200;;;;
46;800;;;;;;;;;;137;1;3500;3500;;;;
47;800;;;;;;;;;;138;1;3500;3500;;;;
48;1200;;;;;;;;;;139;2;5300;2650;;;;
49;;100;;;;;;;;;140;3;9900;3300;;;;
48;1500;;;;;;;;;;141;1;3600;3600;;;;
49;1500;;;;;;;;;;142;1;2900;2900;;;;
50;3200;;;;;;;;;;143;1;1800;1800;;;;
51;;200;;;;;;;;;144;1;3400;3400;;;;
50;;100;;;;;;;;;145;1;1200;1200;;;;
49;;100;;;;;;;;;146;1;1000;1000;;;;
48;;;0;;;;;;;;147;1;600;600;;;;
48;200;;;;;;;;;;148;1;700;700;;;;
49;1700;;;;;;;;;;149;4;10100;2525;;;;
50;;100;;;;;;;;;150;2;1700;850;;;;
49;700;;;;;;;;;;151;2;4000;2000;;;;
50;200;;;;;;;;;;152;1;3300;3300;;;;
51;100;;;;;;;;;;153;1;1500;1500;;;;
52;;200;;;;;;;;;154;1;200;200;;;;
51;;;0;;;;;;;;155;2;4200;2100;;;;
51;1100;;;;;;;;;;156;4;6500;1625;;;;
52;1600;;;;;;;;;;157;2;8600;4300;;;;
53;200;;;;;;;;;;158;1;1600;1600;;;;
54;200;;;;;;;;;;159;2;2500;1250;;;;
55;900;;;;;;;;;;160;1;1900;1900;;;;
56;1700;;;;;;;;;;161;2;4000;2000;;;;
57;1100;;;;;;;;;;162;1;2900;2900;;;;
58;1800;;;;;;;;;;163;1;3400;3400;;;;
59;1800;;;;;;;;;;164;3;3200;1066,666667;;;;
60;;100;;;;;;;;;165;2;1100;550;;;;
59;600;;;;;;;;;;166;2;6700;3350;;;;
60;200;;;;;;;;;;167;2;4600;2300;;;;
61;1900;;;;;;;;;;168;3;3700;1233,333333;;;;
62;1000;;;;;;;;;;169;3;4200;1400;;;;
63;1000;;;;;;;;;;170;4;8900;2225;;;;
64;;100;;;;;;;;;171;1;3600;3600;;;;
63;;100;;;;;;;;;172;1;1600;1600;;;;
62;200;;;;;;;;;;173;1;4200;4200;;;;
63;1000;;;;;;;;;;174;1;600;600;;;;
64;1200;;;;;;;;;;175;1;4600;4600;;;;
65;700;;;;;;;;;;176;1;4500;4500;;;;
66;;;100;;;;;;;;177;2;3500;1750;;;;
66;1900;;;;;;;;;;178;2;8500;4250;;;;
67;1300;;;;;;;;;;179;1;200;200;;;;
68;1300;;;;;;;;;;180;1;2600;2600;;;;
69;2000;;;;;;;;;;181;1;800;800;;;;
70;1500;;;;;;;;;;182;2;4800;2400;;;;
71;;100;;;;;;;;;183;1;4800;4800;;;;
70;800;;;;;;;;;;184;2;7600;3800;;;;
71;;100;;;;;;;;;185;3;7600;2533,333333;;;;
70;;200;;;;;;;;;186;2;5400;2700;;;;
69;1900;;;;;;;;;;187;1;200;200;;;;
70;;100;;;;;;;;;188;2;5200;2600;;;;
69;1500;;;;;;;;;;189;1;4500;4500;;;;
